Donald Duck Finds Pirate Gold 	"Donald Duck Four Color" #9 (Oct 1942) 	64 	Donald Duck 	Carl Barks, Jack Hannah 	Bob Karp 	W OS 9-02
High-wire Daredevils 	"Walt Disney's Comics and Stories" #49 (Oct 1944) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 49-02
Ten Cents' Worth of Trouble 	"Walt Disney's Comics and Stories" #50 (Nov 1944) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 50-02
Donald's Bay Lot 	"Walt Disney's Comics and Stories" #51 (Dec 1944) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 51-02
Thievery Afoot 	"Walt Disney's Comics and Stories" #52 (Jan 1945) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 52-02
Frozen Gold 	"Donald Duck Four Color" #62 (Jan 1945) 	24 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 62-02
Mystery of the Swamp 	"Donald Duck Four Color" #62 (Jan 1945) 	24 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 62-03
The Tramp Steamer 	"Walt Disney's Comics and Stories" #53 (Feb 1945) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 53-02
The Long Race to Pumpkinburg 	"Walt Disney's Comics and Stories" #54 (March 1945) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 54-02
Webfooted Wrangler 	"Walt Disney's Comics and Stories" #55 (April 1945) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 55-02
The Icebox Robber 	"Walt Disney's Comics and Stories" #56 (May 1945) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 56-02
Pecking Order 	"Walt Disney's Comics and Stories" #57 (June 1945) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 57-02
Taming the Rapids 	"Walt Disney's Comics and Stories" #58 (July 1945) 	8 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 58-02
Days at the Laming 	"Walt Disney's Comics and Stories" #59 (Aug 1945) 	8 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 59-01
The Riddle of the Red Hat 	"Mickey Mouse Four Color" #79 (Aug 1945) 	11 	Mickey Mouse 	Carl Barks 	Carl Barks 	W OS 79-01
Eyes in the Dark 	"Walt Disney's Comics and Stories" #60 (Sept 1945) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 60-02
Thug Busters 	"Walt Disney's Comics and Stories" #61 (Oct 1945) 	8 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 61-02
The Great Ski Race 	"Walt Disney's Comics and Stories" #62 (Nov 1945) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 62-02
Ten-Dollar Dither 	"Walt Disney's Comics and Stories" #63 (Dec 1945) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 63-02
Best Christmas 	"Firestone Giveaway" #45 (Dec 1945) 	8 	Donald Duck 	Carl Barks 	Carl Barks 	W FGW 45-01
Donald Tames His Temper 	"Walt Disney's Comics and Stories" #64 (Jan 1946) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 64-02
The Terror of the River!! 	"Donald Duck Four Color" #108 (Jan 1946) 	28 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 108-01
The Firebug 	"Donald Duck Four Color" #108 (Jan 1946) 	13 	Donald Duck 	Carl Barks, Dan Noonan (?) 	Carl Barks 	W OS 108-02
Seals Are So Smart! 	"Donald Duck Four Color" #108 (Jan 1946) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 108-03
Singapore Joe 	"Walt Disney's Comics and Stories" #65 (Feb 1946) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 65-02
Master Ice-Fisher 	"Walt Disney's Comics and Stories" #66 (March 1946) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 66-02
Jet Rescue 	"Walt Disney's Comics and Stories" #67 (April 1946) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 67-02
Donald's Monster Kite 	"Walt Disney's Comics and Stories" #68 (May 1946) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 68-02
Biceps Blues 	"Walt Disney's Comics and Stories" #69 (June 1946) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 69-02
The Smugsnorkle Squattie 	"Walt Disney's Comics and Stories" #70 (July 1946) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 70-02
Swimming Swindlers 	"Walt Disney's Comics and Stories" #71 (Aug 1946) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 71-02
Playin' Hookey 	"Walt Disney's Comics and Stories" #72 (Sept 1946) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 72-02
The Gold-Finder 	"Walt Disney's Comics and Stories" #73 (Oct 1946) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 73-02
The Tax-Collectors 	"Walt Disney's Comics and Stories" #74 (Nov 1946) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 74-01
Turkey Raffle 	"Walt Disney's Comics and Stories" #75 (Dec 1946) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 75-01
Santa's Stormy Visit 	"Firestone Giveaway" #46 (Dec 1946) 	8 	Donald Duck 	Carl Barks 	Carl Barks 	W FGW 46-01
Donald Duck's Atom Bomb 	"Cheerios Giveaway" #1 (1947) 	30 	Donald Duck 	Carl Barks 	Carl Barks 	W CGW Y 1-01
Maharajah Donald 	"Boys' and Girls' March of Comics" #4 (1947) 	28 	Donald Duck 	Carl Barks 	Carl Barks 	W MOC 4-01
The Peaceful Hills 	"Boys' and Girls' March of Comics" #4 (1947) 	2 	Donald Duck 	Carl Barks 	Carl Barks 	W MOC 4-02
The Cantankerous Cat 	"Walt Disney's Comics and Stories" #76 (Jan 1947) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 76-02
Going Buggy 	"Walt Disney's Comics and Stories" #77 (Feb 1947) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 77-02
Jam Robbers 	"Walt Disney's Comics and Stories" #78 (March 1947) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 78-02
Picnic Tricks 	"Walt Disney's Comics and Stories" #79 (April 1947) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 79-02
Donald's Posy Patch 	"Walt Disney's Comics and Stories" #80 (May 1947) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 80-02
Volcano Valley 	"Donald Duck Four Color" #147 (May 1947) 	30 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 147-02
If the Hat Fits 	"Donald Duck Four Color" #147 (May 1947) 	1 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 147-01
Donald Mines His Own Business 	"Walt Disney's Comics and Stories" #81 (June 1947) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 81-02
Magical Misery 	"Walt Disney's Comics and Stories" #82 (July 1947) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 82-02
Vacation Misery	"Walt Disney's Comics and Stories" #83 (Aug 1947) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 83-02
The Ghost of the Grotto 	"Donald Duck Four Color" #159 (Aug 1947) 	26 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 159-01
Adventure Down Under 	"Donald Duck Four Color" #159 (Aug 1947) 	25 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 159-02
The Waltz King 	"Walt Disney's Comics and Stories" #84 (Sept 1947) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 84-02
The Masters of Melody 	"Walt Disney's Comics and Stories" #85 (Oct 1947) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 85-02
Fireman Donald 	"Walt Disney's Comics and Stories" #86 (Nov 1947) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 86-02
The Terrible Turkey 	"Walt Disney's Comics and Stories" #87 (Dec 1947) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 87-02
Christmas on Bear Mountain 	"Donald Duck Four Color" #178 (Dec 1947) 	20 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 178-02
Fashion in Flight 	"Donald Duck Four Color" #178 (Dec 1947) 	1 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 178-01
Turn for the Worse 	"Donald Duck Four Color" #178 (Dec 1947) 	1 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 178-04
Machine Mix-Up 	"Donald Duck Four Color" #178 (Dec 1947) 	1 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 178-05
Three Good Little Ducks 	"Firestone Giveaway" #47 (Dec 1947) 	8 	Donald Duck 	Carl Barks 	Carl Barks 	W FGW 47-01
Darkest Africa 	"Boys' and Girls' March of Comics" #20 (1948) 	22 	Donald Duck 	Carl Barks 	Carl Barks 	W MOC 20-01
Wintertime Wager 	"Walt Disney's Comics and Stories" #88 (Jan 1948) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 88-02
Watching the Watchman 	"Walt Disney's Comics and Stories" #89 (Feb 1948) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 89-02
Wired 	"Walt Disney's Comics and Stories" #90 (March 1948) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 90-02
Going Ape 	"Walt Disney's Comics and Stories" #91 (April 1948) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 91-02
Spoil the Rod 	"Walt Disney's Comics and Stories" #92 (May 1948) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 92-02
Rocket Race to the Moon 	"Walt Disney's Comics and Stories" #93 (June 1948) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 93-02
The Old Castle's Secret 	"Donald Duck Four Color" #189 (June 1948) 	32 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 189-02
Bird Watching 	"Donald Duck Four Color" #189 (June 1948) 	1 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 189-01
Horseshoe Luck 	"Donald Duck Four Color" #189 (June 1948) 	1 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 189-03
Bean Taken 	"Donald Duck Four Color" #189 (June 1948) 	1 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 189-04
Donald of the Coast Guard 	"Walt Disney's Comics and Stories" #94 (July 1948) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 94-02
Gladstone Returns 	"Walt Disney's Comics and Stories" #95 (Aug 1948) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 95-02
Links Hijinks 	"Walt Disney's Comics and Stories" #96 (Sept 1948) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 96-02
Pearls of Wisdom 	"Walt Disney's Comics and Stories" #97 (Oct 1948) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 97-02
Sheriff of Bullet Valley 	"Donald Duck Four Color" #199 (Oct 1948) 	32 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 199-02
Sorry to be Safe 	"Donald Duck Four Color" #199 (Oct 1948) 	1 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 199-01
Best Laid Plans 	"Donald Duck Four Color" #199 (Oct 1948) 	1 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 199-03
The Genuine Article 	"Donald Duck Four Color" #199 (Oct 1948) 	1 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 199-04
Foxy Relations 	"Walt Disney's Comics and Stories" #98 (Nov 1948) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 98-02
The Crazy Quiz Show 	"Walt Disney's Comics and Stories" #99 (Dec 1948) 	10 	Donald Duck 	Carl Barks 	Carl Barks (rewrite) 	W WDC 99-02
The Golden Christmas Tree 	"Donald Duck Four Color" #203 (Dec 1948) 	20 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 203-02
Jumping to Conclusions 	"Donald Duck Four Color" #203 (Dec 1948) 	1 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 203-01
The True Test 	"Donald Duck Four Color" #203 (Dec 1948) 	1 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 203-04
Ornaments on the Way 	"Donald Duck Four Color" #203 (Dec 1948) 	1 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 203-05
Toyland 	"Firestone Giveaway" #48 (Dec 1948) 	8 	Donald Duck 	Carl Barks 	Carl Barks (rewrite) 	W FGW 48-01
Race to the South Seas! 	"Boys' and Girls' March of Comics" #41 (1949) 	22 	Donald Duck 	Carl Barks 	Carl Barks 	W MOC 41-01
Truant Officer Donald 	"Walt Disney's Comics and Stories" #100 (Jan 1949) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 100-02
DD's Worst Nightmare 	"Walt Disney's Comics and Stories" #101 (Feb 1949) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 101-02
Pizen Spring Dude Ranch 	"Walt Disney's Comics and Stories" #102 (March 1949) 	10 	Donald Duck 	Carl Barks 	Carl Barks (rewrite) 	W WDC 102-02
Rival Beachcombers 	"Walt Disney's Comics and Stories" #103 (April 1949) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 103-02
Lost in the Andes! 	"Donald Duck Four Color" #223 (April 1949) 	32 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 223-02
Too Fit to Fit 	"Donald Duck Four Color" #223 (April 1949) 	1 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 223-01
Tunnel Vision 	"Donald Duck Four Color" #223 (April 1949) 	1 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 223-03
Sleepy Sitters 	"Donald Duck Four Color" #223 (April 1949) 	1 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 223-04
The Sunken Yacht 	"Walt Disney's Comics and Stories" #104 (May 1949) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 104-02
Managing the Echo System 	"Walt Disney's Comics and Stories" #105 (June 1949) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 105-02
Plenty of Pets 	"Walt Disney's Comics and Stories" #106 (July 1949) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 106-02
Super Snooper 	"Walt Disney's Comics and Stories" #107 (Aug 1949) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 107-02
Voodoo Hoodoo 	"Donald Duck Four Color" #238 (Aug 1949) 	32 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 238-02
Slippery Shine 	"Donald Duck Four Color" #238 (Aug 1949) 	1 	Donald Duck 	Carl Barks 	(?) 	W OS 238-01
Fractious Fun 	"Donald Duck Four Color" #238 (Aug 1949) 	1 	Donald Duck 	Carl Barks 	(?) 	W OS 238-03
King-Size Cone 	"Donald Duck Four Color" #238 (Aug 1949) 	1 	Donald Duck 	Carl Barks 	(?) 	W OS 238-04
The Great Duckburg Frog-Jumping Contest 	"Walt Disney's Comics and Stories" #108 (Sept 1949) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 108-02
Dowsing Ducks 	"Walt Disney's Comics and Stories" #109 (Oct 1949) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 109-02
The Goldilocks Gambit 	"Walt Disney's Comics and Stories" #110 (Nov 1949) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 110-02
Letter to Santa 	"Walt Disney's Christmas Parade" #1 (Nov 1949) 	24 	Donald Duck 	Carl Barks 	Carl Barks 	W CP 1-01
No Noise is Good Noise 	"Walt Disney's Christmas Parade" #1 (Nov 1949) 	1 	Donald Duck 	Carl Barks 	Carl Barks 	W CP 1–13
Donald's Love Letters 	"Walt Disney's Comics and Stories" #111 (Dec 1949) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 111-02
Luck of the North 	"Donald Duck Four Color" #256 (Dec 1949) 	32 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 256-02
Toasty Toys 	"Donald Duck Four Color" #256 (Dec 1949) 	1 	Donald Duck 	Carl Barks 	(?) 	W OS 256-01
No Place to Hide 	"Donald Duck Four Color" #256 (Dec 1949) 	1 	Donald Duck 	Carl Barks 	(?) 	W OS 256-03
Tied-Down Tools 	"Donald Duck Four Color" #256 (Dec 1949) 	1 	Donald Duck 	Carl Barks 	(?) 	W OS 256-04
New Toys 	"Firestone Giveaway" #49 (Dec 1949) 	8 	Donald Duck 	Carl Barks 	Carl Barks 	W FGW 49-01
Rip Van Donald 	"Walt Disney's Comics and Stories" #112 (Jan 1950) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 112-02
Land of the Totem Poles 	"Donald Duck Four Color" #263 (Feb 1950) 	24 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 263-02
Trail of the Unicorn 	"Donald Duck Four Color" #263 (Feb 1950) 	24 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 263-03
Noise Nullifier 	"Donald Duck Four Color" #263 (Feb 1950) 	1 	Donald Duck 	Carl Barks 	(?) 	W OS 263-01
Matinee Madness 	"Donald Duck Four Color" #263 (Feb 1950) 	1 	Donald Duck 	Carl Barks 	(?) 	W OS 263-04
A Fetching Price 	"Donald Duck Four Color" #263 (Feb 1950) 	1 	Donald Duck 	Carl Barks 	(?) 	W OS 263-05
Serum to Codfish Cove 	"Walt Disney's Comics and Stories" #114 (March 1950) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 114-02
In Ancient Persia 	"Donald Duck Four Color" #275 (May 1950) 	24 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 275-02
Wild about Flowers 	"Walt Disney's Comics and Stories" #117 (June 1950) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 117-02
The Pixilated Parrot 	"Donald Duck Four Color" #282 (July 1950) 	22 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 282-02
Vacation Time 	"Walt Disney's Vacation Parade" #1 (July 1950) 	33 	Donald Duck 	Carl Barks 	Carl Barks 	W VP 1-01
Donald's Grandma Duck 	"Walt Disney's Vacation Parade" #1 (July 1950) 	14 	Grandma Duck 	Carl Barks 	(?) 	W VP 1-09
Camp Counselor 	"Walt Disney's Vacation Parade" #1 (July 1950) 	8 	Donald Duck 	Carl Barks 	(?) 	W VP 1-08
The Magic Hourglass 	"Donald Duck Four Color" #291 (Sept 1950) 	28 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 291-02
Big-Top Bedlam 	"Donald Duck Four Color" #300 (Nov 1950) 	28 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 300-02
You Can't Guess 	"Walt Disney's Christmas Parade" #2 (Nov 1950) 	25 	Donald Duck 	Carl Barks 	Carl Barks 	W CP 2-01
Billions to Sneeze At 	"Walt Disney's Comics and Stories" #124 (Jan 1951) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 124-02
Dangerous Disguise 	"Donald Duck Four Color" #308 (Jan 1951) 	28 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 308-02
Operation St. Bernard 	"Walt Disney's Comics and Stories" #125 (Feb 1951) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 125-02
A Financial Fable 	"Walt Disney's Comics and Stories" #126 (March 1951) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 126-02
No Such Varmint 	"Donald Duck Four Color" #318 (March 1951) 	28 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 318-02
The April Foolers 	"Walt Disney's Comics and Stories" #127 (April 1951) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 127-02
Knightly Rivals 	"Walt Disney's Comics and Stories" #128 (May 1951) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 128-02
In Old California! 	"Donald Duck Four Color" #328 (May 1951) 	28 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 328-02
Pool Sharks 	"Walt Disney's Comics and Stories" #129 (June 1951) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 129-02
The Trouble With Dimes 	"Walt Disney's Comics and Stories" #130 (July 1951) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 130-02
Gladstone's Luck 	"Walt Disney's Comics and Stories" #131 (Aug 1951) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 131-02
Ten-Star Generals 	"Walt Disney's Comics and Stories" #132 (Sept 1951) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 132-02
Attic Antics 	"Walt Disney's Comics and Stories" #132 (Sept 1951) 	10 	Grandma Duck 	Carl Barks 	(?) 	W WDC 132-04
The Truant Nephews 	"Walt Disney's Comics and Stories" #133 (Oct 1951) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 133-02
Terror of the Beagle Boys 	"Walt Disney's Comics and Stories" #134 (Nov 1951) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 134-02
Talking Parrot 	"Donald Duck Four Color" #356 (Nov 1951) 	1 	Donald Duck 	Frank McSavage 	Carl Barks (?) 	W OS 356-05
The Big Bin on Killmotor Hill 	"Walt Disney's Comics and Stories" #135 (Dec 1951) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 135-02
Gladstone's Usual Very Good Year 	"Walt Disney's Comics and Stories" #136 (Jan 1952) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 136-02
A Christmas for Shacktown 	"Donald Duck Four Color" #367 (Jan 1952) 	32 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 367-02
Treeing Off 	"Donald Duck Four Color" #367 (Jan 1952) 	1 	Donald Duck 	Carl Barks 	(?) 	W OS 367-01
Christmas Kiss 	"Donald Duck Four Color" #367 (Jan 1952) 	1 	Donald Duck 	Carl Barks 	(?) 	W OS 367-03
Projecting Desires 	"Donald Duck Four Color" #367 (Jan 1952) 	1 	Donald Duck 	Carl Barks 	(?) 	W OS 367-04
The Screaming Cowboy 	"Walt Disney's Comics and Stories" #137 (Feb 1952) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 137-02
Statuesque Spendthrifts 	"Walt Disney's Comics and Stories" #138 (March 1952) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 138-02
Only a Poor Old Man 	"Uncle Scrooge Four Color" #386 (March 1952) 	32 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W OS 386-02
Osogood Silver Polish 	"Uncle Scrooge Four Color" #386 (March 1952) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W OS 386-01
Coffee for Two 	"Uncle Scrooge Four Color" #386 (March 1952) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W OS 386-03
Soupline Eight 	"Uncle Scrooge Four Color" #386 (March 1952) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W OS 386-04
Rocket Wing Saves the Day 	"Walt Disney's Comics and Stories" #139 (April 1952) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 139-02
Gladstone's Terrible Secret 	"Walt Disney's Comics and Stories" #140 (May 1952) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 140-02
The Think Box Bollix 	"Walt Disney's Comics and Stories" #141 (June 1952) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 141-02
Houseboat Holiday 	"Walt Disney's Comics and Stories" #142 (July 1952) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 142-02
The Golden Helmet 	"Donald Duck Four Color" #408 (July 1952) 	32 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 408-02
Full-Service Windows 	"Donald Duck Four Color" #408 (July 1952) 	1 	Donald Duck 	Carl Barks 	(?) 	W OS 408-01
Rigged-Up Roller 	"Donald Duck Four Color" #408 (July 1952) 	1 	Donald Duck 	Carl Barks 	(?) 	W OS 408-03
Awash in Success 	"Donald Duck Four Color" #408 (July 1952) 	1 	Huey Dewey and Louie 	Carl Barks 	(?) 	W OS 408-04
Gemstone Hunters 	"Walt Disney's Comics and Stories" #143 (Aug 1952) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 143-01
Spending Money 	"Walt Disney's Comics and Stories" #144 (Sept 1952) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 144-01
The Gilded Man 	"Donald Duck Four Color" #422 (Sept 1952) 	32 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 422-02
Stable Prices 	"Donald Duck Four Color" #422 (Sept 1952) 	1 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 422-01
